Handle,Max Rating_x,Result,Max Rating_y
Soumojitkgp,1717,Yes,1717
Www123456,1645,Yes,1645
codevengers,1618,Yes,1618
rashid_aziz,1630,Yes,1630
sAijaswanth,1616,Yes,1616
vlp,1850,Yes,1850
NosichGrig,1785,Yes,1785
phongcd,1615,Yes,1615
-_3zim_-,1614,Yes,1614
ashish1677,1614,Yes,1614
xyfern,1614,Yes,1598
Khaled_Al_Awad,1613,Yes,1613
Shyam_26_7_2,1611,Yes,1611
nidehg,1611,Yes,1611
riddler_org,1748,Yes,1748
sidakbhatia,1754,Yes,1754
99Attempts,1610,Yes,1610
EscOutiler,1709,Yes,1709
sbzx,1664,Yes,1664
swapnilkgp,1677,Yes,1677
WHSRJ,1609,Yes,1609
Ramanujan1729,1608,Yes,1608
_Noumi_Kudryavka_,1608,Yes,1608
cwxcai,1643,Yes,1643
xiaobaibai123,1816,Yes,1816
Arnoob2120,1607,Yes,1607
Firo_SF,1607,Yes,1590
Flipped111,1608,Yes,1608
acacachhh,1768,Yes,1768
FullMetalChains,1627,Yes,1627
Kyrizer_W,1605,Yes,1510
NO__OB,1676,Yes,1676
RansomCodes,1607,Yes,1607
duzinho039,1605,Yes,1605
peng_ym,1844,Yes,1844
AbracaSora,1604,Yes,1601
LostTemple,1736,Yes,1736
_Sherbiny,1604,Yes,1604
aryan1602,1864,Yes,1864
khanhdungtrinh,1604,Yes,1604
phannguyenquocbao,1604,Yes,1558
29logN,1725,Yes,1725
53846,1624,Yes,1624
lakkiSingh,1669,Yes,1669
mic555,1643,Yes,1643
zhinnn,1676,Yes,1676
1xx55,1605,Yes,1605
ILLENIUM.,1732,Yes,1732
Nonunou,1819,Yes,1819
Ri_Nai,1602,Yes,1602
itshawn,1602,Yes,1602
joyutong,1632,Yes,1632
takeuchi-masaki,1612,Yes,1612
Nanaanaaa,1601,Yes,1601
Potoccino.,1767,Yes,1767
Bit_8,1650,Yes,1650
fxss,1609,Yes,1609
MasterVroom,1717,Yes,1717
DvX5,1773,Yes,1773
Tomori-Nao,1618,Yes,1618
rnishiura,1695,Yes,1695
chenyanxi,1658,Yes,1658
.utk.,1654,Yes,1654
october_rain,1689,Yes,1689
shushukl,1636,Yes,1636
xhchen,1787,Yes,1787
chuka231,1716,Yes,1716
SunShine11,1633,Yes,1633
a_man____aman,1642,Yes,1642
abhay1308,1618,Yes,1618
wangziyanmo,1686,Yes,1686
