Problem,Contest,Index,Tags,Rating,Submissions,Accepted,WrongAnswer,TimeLimitExceeded,MemoryLimitExceeded,SampleTests,Statement,Input,Output
Ela's Fitness and the Luxury Number,1737,B,"binary search, implementation, math",,,,,,,,,,
Ela Sorting Books,1737,A,"greedy, implementation, strings",,,,,,,,,,
Equal Binary Subsequences,1736,D,"constructive algorithms, geometry, greedy, implementation, strings",,,,,,,,,,
Phase Shift,1735,C,"dfs and similar, dsu, graphs, greedy, implementation, strings",,,,,,,,,,
Balance (Easy version),1732,D1,"brute force, data structures, implementation, number theory",,,,,,,,,,
Sheikh (Hard Version),1732,C2,"binary search, bitmasks, brute force, greedy, implementation, two pointers",,,,,,,,,,
Ugu,1732,B,"brute force, dp, greedy, implementation",,,,,,,,,,
Bestie,1732,A,"brute force, combinatorics, constructive algorithms, implementation, math, number theory",,,,,,,,,,
Meeting on the Line,1730,B,"binary search, geometry, greedy, implementation, math, ternary search",,,,,,,,,,
Colored Balls: Revisited,1728,A,"brute force, greedy, implementation, sortings",,,,,,,,,,
Mainak and the Bleeding Polygon,1726,H,"binary search, geometry, implementation, math",,,,,,,,,,
L-shapes,1722,F,"dfs and similar, implementation",,,,,,,,,,
Counting Rectangles,1722,E,"brute force, data structures, dp, implementation",,,,,,,,,,
Word Game,1722,C,"data structures, implementation",,,,,,,,,,
Colourblindness,1722,B,implementation,,,,,,,,,,
Spell Check,1722,A,implementation,,,,,,,,,,
Deadly Laser,1721,B,implementation,,,,,,,,,,
Image,1721,A,"greedy, implementation",,,,,,,,,,
Misha and Paintings,1720,E,"constructive algorithms, data structures, greedy, implementation, math",,,,,,,,,,
Corners,1720,C,"greedy, implementation",,,,,,,,,,
Fighting Tournament,1719,C,"binary search, data structures, implementation, two pointers",,,,,,,,,,
Impressionism,1718,E,"constructive algorithms, graphs, implementation, math",,,,,,,,,,
Fibonacci Strings,1718,B,"greedy, implementation, math, number theory",,,,,,,,,,
Madoka and The First Session,1717,F,"constructive algorithms, flows, graph matchings, graphs, implementation",,,,,,,,,,
Madoka and Underground Competitions,1717,B,"constructive algorithms, implementation",,,,,,,,,,
Robot in a Hallway,1716,C,"data structures, dp, greedy, implementation, ternary search",,,,,,,,,,
