Problem,Contest,Index,Tags,solvedCount
Divine Array,1602,B,"constructive algorithms, implementation",13417
Two Subsequences,1602,A,implementation,18371
Staircases,1598,E,"brute force, combinatorics, data structures, dfs and similar, dp, implementation, math",2146
Training Session,1598,D,"combinatorics, data structures, geometry, implementation, math",8028
Delete Two Elements,1598,C,"data structures, dp, implementation, math, two pointers",18689
Groups,1598,B,"brute force, implementation",15341
Computer Game,1598,A,"brute force, dfs and similar, dp, implementation",21873
Rubik's Cube Coloring (hard version),1594,E2,"brute force, dp, implementation, math, trees",1381
Red-Black Number,1593,F,"dfs and similar, dp, implementation, math, meet-in-the-middle",2201
Gardener and Tree,1593,E,"brute force, data structures, dfs and similar, greedy, implementation, trees",10789
Hemose in ICPC ?,1592,D,"binary search, dfs and similar, implementation, interactive, math, number theory, trees",2060
