Problem,Contest,Index,Tags,solvedCount
Permutation Partitions,1326,C,"combinatorics, greedy, math",14906
Ehab and Path-etic MEXs,1325,C,"constructive algorithms, dfs and similar, greedy, trees",12487
Pair of Topics,1324,D,"binary search, data structures, sortings, two pointers",24711
Count Subrectangles,1323,B,"binary search, greedy, implementation",8235
Unusual Competitions,1322,A,greedy,12029
Journey Planning,1320,A,"data structures, dp, greedy, math, sortings",14831
String Modification,1316,B,"brute force, constructive algorithms, implementation, sortings, strings",10758
Homecoming,1315,B,"binary search, dp, greedy, strings",8752
Skyscrapers (easy version),1313,C1,"brute force, data structures, dp, greedy",9735
Adding Powers,1312,C,"bitmasks, greedy, implementation, math, number theory, ternary search",15255
Perform the Combo,1311,C,brute force,15194
Cow and Message,1307,C,"brute force, dp, math, strings",11262
Cow and Friend,1307,B,"geometry, greedy, math",12671
Air Conditioner,1304,C,"dp, greedy, implementation, sortings, two pointers",15029
National Project,1303,B,math,14976
Motarack's Birthday,1301,B,"binary search, greedy, ternary search",13483
Anu Has a Function,1299,A,"brute force, greedy, math",11372
Fight with Monsters,1296,D,"greedy, sortings",13430
Yet Another Walking Robot,1296,C,"data structures, implementation",13977
Product of Three Numbers,1294,C,"greedy, math, number theory",29626
NEKO's Maze Game,1292,A,"data structures, dsu, implementation",12714
Array Sharpening,1291,B,"greedy, implementation",13459
Hyperset,1287,B,"brute force, data structures, implementation",8951
Fadi and LCM,1285,C,"brute force, math, number theory",20530
Just Eat It!,1285,B,"dp, greedy, implementation",19551
New Year and Ascent Sequence,1284,B,"binary search, combinatorics, data structures, dp, implementation, sortings",10352
Friends and Gifts,1283,C,"constructive algorithms, data structures, math",12351
K for the Price of One (Easy Version),1282,B1,"dp, greedy, sortings",10910
Stack of Presents,1279,C,"data structures, implementation",11075
Verse For Santa,1279,B,"binary search, brute force, implementation",13036
A and B,1278,B,"greedy, math",12388
As Simple as One and Two,1276,A,"dp, greedy",11744
Remove One Element,1272,D,"brute force, dp",14907
Shawarma Tent,1271,C,"brute force, geometry, greedy, implementation",9980
Blocks,1271,B,"greedy, math",10822
Make Good,1270,C,"bitmasks, constructive algorithms, math",13153
Modulo Equality,1269,B,"brute force, sortings",8680
Diverse Matrix,1266,C,"constructive algorithms, greedy, math, number theory",9136
Beautiful Numbers,1265,B,"data structures, implementation, math, two pointers",12015
Beautiful Regional Contest,1264,A,"greedy, implementation",9651
Secret Passwords,1263,D,"dfs and similar, dsu, graphs",12551
Everyone is a Winner!,1263,C,"binary search, math, meet-in-the-middle, number theory",12922
PIN Codes,1263,B,"greedy, implementation",10853
Obtain Two Zeroes,1260,B,"binary search, math",14686
Binary String Minimizing,1256,D,greedy,11342
Minimize the Permutation,1256,B,greedy,12426
Sweets Eating,1253,C,"dp, greedy, math, sortings",13223
Silly Mistake,1253,B,"greedy, implementation",10653
Binary Palindromes,1251,B,"greedy, strings",10321
Divide The Students,1250,L,"binary search, greedy, math",3918
Happy Birthday,1250,H,math,3879
Berstagram,1250,A,implementation,3945
Good Numbers (hard version),1249,C2,"binary search, greedy, math, meet-in-the-middle",11755
Good Numbers (easy version),1249,C1,"brute force, greedy, implementation",14527
Books Exchange (hard version),1249,B2,"dfs and similar, dsu, math",15656
Constanze's Machine,1245,C,dp,15905
Tile Painting,1242,A,"constructive algorithms, math, number theory",11973
Kill `Em All,1238,B,"greedy, sortings",12810
Balanced Tunnel,1237,B,"data structures, sortings, two pointers",13714
Labs,1236,C,"constructive algorithms, greedy, implementation",9588
Alice and the List of Presents,1236,B,"combinatorics, math",10209
Pipes,1234,C,"dp, implementation",11842
Social Network (hard version),1234,B2,"data structures, implementation",15899
Filling the Grid,1228,B,"implementation, math",11106
TV Subscriptions (Hard Version),1225,B2,"implementation, two pointers",9698
Substring Game in the Lesson,1220,C,"games, greedy, strings",9639
Multiplication Table,1220,B,"math, number theory",11102
Workout plan,1218,F,"data structures, greedy",2803
Creating a Character,1217,A,"binary search, math",14298
Swords,1216,D,math,10492
Swap Letters,1215,C,"constructive algorithms, greedy",10459
The Number of Products,1215,B,"combinatorics, dp, implementation",11468
Optimal Currency Exchange,1214,A,"brute force, math",8507
Equalizing by Division (easy version),1213,D1,"brute force, implementation",10654
Traveling Around the Golden Ring of Berland,1211,B,"*special, implementation",691
Paint the Digits,1209,C,"constructive algorithms, greedy, implementation",7067
Koala and Lights,1209,B,"implementation, math, number theory",7781
Uniqueness,1208,B,"binary search, brute force, implementation, two pointers",9737
